image_path,description,image-id
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005247.jpg,A black and white photo of an older man skiing.,000000005247.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005394.jpg,A boat that looks like a car moves through the water. ,000000005394.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005802.jpg,Two men wearing aprons working in a commercial-style kitchen.,000000005802.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005879.jpg,A couple bicyclers ride on the street at night.,000000005879.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000006672.jpg,The back door with a window in the kitchen.,000000006672.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008045.jpg,Tub and shower on platform in modern tiled bathroom.,000000008045.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008180.jpg,A large airplane is on the airport runway.,000000008180.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008218.jpg,A building with a black and gold clock on it.,000000008218.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000011334.jpg,A close up detail of an ornate brickwork cathedral,000000011334.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000013466.jpg,Two street signs are shown against more buildings.,000000013466.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000014297.jpg,A house boat along the water has bicycles on deck.,000000014297.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000016977.jpg,A car that seems to be parked illegally behind a legally parked car,000000016977.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000019523.jpg,two women loading their bicycles onto a bus rack,000000019523.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000020788.jpg,A woman hovering over food on a wooden table.,000000020788.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000022793.jpg,A public bathroom with a bunch of urinals.,000000022793.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000027842.jpg,A dual sink vanity with mirrors above the sinks.,000000027842.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000030423.jpg,Four giraffes in the wild eating from trees.,000000030423.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000031519.jpg,A group of rescue workers helping an overturned car,000000031519.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000031984.jpg,a women that is standing next to a motorcycle,000000031984.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000032203.jpg,Three people on motorbikes racing around a track.,000000032203.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000034196.jpg,Two desktop computer monitors sitting on a desk with a keyboard and mouse.,000000034196.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000036450.jpg,A very big teddy bear is next to a woman.,000000036450.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000040986.jpg,A man points at the wall in his kitchen.,000000040986.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000043098.jpg,A man is walking down the street in front of a red door.,000000043098.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000050411.jpg,A mounted police officer riding down a city street past parked cars.,000000050411.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000051191.jpg,The view of a large bathroom with a walk in closet.,000000051191.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000052087.jpg,A man getting a drink from a water fountain that is a toilet.,000000052087.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000056070.jpg,A motorcycle parked next to a yellow thing and tree.,000000056070.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000056752.jpg,Man on a bicycle riding on the road next to a river.,000000056752.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000057429.jpg,The airplane is taking off on the runway at the airport.,000000057429.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000057703.jpg,A man and two women walking their dogs and hiking in the woods.,000000057703.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000059171.jpg,A couple of birds fly through a blue cloudy sky.,000000059171.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000061259.jpg,A Virgin Australia airline on the tarmac. ,000000061259.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000061422.jpg,A bathroom with a sink and a toilet. ,000000061422.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000062483.jpg,A young soldier has his picture taken with a young lady with an open jacket and brazier showing.,000000062483.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000069236.jpg,a wooden and metal bench near a over grown bush,000000069236.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000069293.jpg,"The bathroom toilet with the cover up, sink, and bathroom items are shown.",000000069293.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000073280.jpg,a brown and white kitchen with a silver refrigerator,000000073280.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000074132.jpg,A bathtub in front of a large mirror.,000000074132.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000075118.jpg,A fighter jet doing tricks with smoke trailing behind it.,000000075118.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000075663.jpg,A children play area absent of any children.,000000075663.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000079472.jpg,"A laptop, monitor, printer and tablet on a desk.",000000079472.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000081505.jpg,The plane is flying through a clear blue sky.  ,000000081505.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000082673.jpg,A small car sits parked in front of a scooter. ,000000082673.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000085145.jpg,An airplane flying in a blue sky with it's landing gear down.,000000085145.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000085316.jpg,a family stands outside their home by horses. ,000000085316.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000090732.jpg,A little girl standing on a chair mixing something in a bowl.,000000090732.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000092678.jpg,Man and woman standing on the beach in the process of flying a kite. ,000000092678.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000093959.jpg,A white kitchen with marble countertops and stone floors.,000000093959.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000097790.jpg,"Two aircraft flying, one a jet and one a propeller plane.",000000097790.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000099389.jpg,A motorcycle parked in front of a graffiti covered building.,000000099389.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000100138.jpg,A black motorcycle parked in front of trees.,000000100138.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000102625.jpg,An empty kitchen filled with dishes and appliances.,000000102625.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000104326.jpg,A pinewood and green modern themed kitchen area.,000000104326.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000106140.jpg,An red and white airplane is in the cloudy sky.,000000106140.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000106900.jpg,"A woman, man, and a dog standing in the snow. ",000000106900.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000107990.jpg,A small child climbs atop a large motorcycle,000000107990.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000108283.jpg,A rotten door leading into a restroom covered in filth.,000000108283.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000119964.jpg,A skateboarder sitting on the edge of an open field.,000000119964.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000120021.jpg,A motorcycle with a red seat is on top of a stand. ,000000120021.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000123843.jpg,A white bathroom has a white shower curtain.,000000123843.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000124766.jpg,A man wearing a blue bow tie and a fedora hat in a car. ,000000124766.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000126657.jpg,A group of motorcycles drive down a city street.,000000126657.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000127585.jpg,An office with a leather couch surrounded by books.,000000127585.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000132901.jpg,A man and a woman standing next to a motor cycle.,000000132901.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000133680.jpg,A man is sitting on a bench next to a bike.,000000133680.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000136783.jpg,A rock wall next to a green tiled room.,000000136783.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000136793.jpg,a toilet a toilet paper roll and a newspaper,000000136793.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000138599.jpg,A silver BMW motorcycle being posed for a picture.,000000138599.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000139011.jpg,People are waiting for the bus near a bus stop.,000000139011.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000139440.jpg,Six people in a boat rowing on a body of water.,000000139440.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000141172.jpg,A door with a sticker of a cat door on it,000000141172.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000143370.jpg,A bathroom with a poster of an ugly face above the toilette.,000000143370.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000145093.jpg,A stone building with a clock displayed on the outside. ,000000145093.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000145523.jpg,A photo of a toilet with items on the tank.,000000145523.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000147042.jpg,"A kitchen refrigerator with numerous pictures held up by magnets, next to counters and a dining table and chairs.",000000147042.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000148766.jpg,some white and blue porcelain designer toilet bowls,000000148766.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000153184.jpg,Little birds sitting on the shoulder of a giraffe. ,000000153184.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000154324.jpg,An empty bathroom with a shower next to a toilet.,000000154324.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000155997.jpg,A dog rides in a cart pulled by a man on a bike.,000000155997.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000156324.jpg,A woman takes a selfie in front of a bathroom mirror.,000000156324.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000158466.jpg,A young man jumping up into the air to catch a Frisbee.,000000158466.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000162113.jpg,A gas stove next to a stainless steel kitchen sink and countertop.,000000162113.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000162280.jpg,A small bathroom with focus on the shower curtain.,000000162280.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000166003.jpg,A small room with a heater and a desk filled with clutter.,000000166003.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000172710.jpg,A woman kisses a man as they sit on a motorcycle.,000000172710.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000172851.jpg,A plane is shown taking off from an airstrip.,000000172851.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000175024.jpg,A person sits on top of a motorcycle with a stuffed toy.,000000175024.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000175942.jpg,A street view with a plane flying ahead.,000000175942.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000175948.jpg,A tiny bathroom with only a toilet and a shelf.,000000175948.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000175954.jpg,A work station in use inside an office.,000000175954.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000176828.jpg,A airplane banking to the right as it ascends into the sky,000000176828.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000178761.jpg,a couple of animals that are beside a fence,000000178761.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000181586.jpg,A black and white cat sits near a window looking outside.,000000181586.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000186697.jpg,A peson riding a bike down a long narrow road.,000000186697.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000193622.jpg,An Indian man in religious attire sitting with a decorated cow.,000000193622.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000193680.jpg,Full grown cat laying down and sleeping on top of a car. ,000000193680.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000196047.jpg,a bathroom with a toilet and a bath tub,000000196047.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000199951.jpg,A person on a motorcycle driving around a racetrack.,000000199951.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000202658.jpg,An old toilet with a hello kitty cover top. ,000000202658.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000202913.jpg,The coconut cake on a red plate is half gone.,000000202913.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000205570.jpg,A woman uses a paintbrush on a melting candle.,000000205570.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000205577.jpg,"A kitchen with a sink, dishwasher, microwave and refrigerator.",000000205577.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000207652.jpg,A parked motorcycle with a red enclosed side car.,000000207652.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000208408.jpg,A person walking in the rain on the sidewalk. ,000000208408.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000211491.jpg,An older woman sits in a sweater at the beach.,000000211491.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000214274.jpg,A man and woman cooking together in the kitchen.,000000214274.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000220255.jpg,Two commercial aircraft taxiing on the airport tarmac. ,000000220255.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000220704.jpg,a very clean kitchen with pots and pans,000000220704.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000226419.jpg,A random plane in the sky flying alone,000000226419.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000230600.jpg,A toilet on the outside of a building next to a parking meter.,000000230600.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000230610.jpg,A bathroom with a sink and shower curtain with a map print.,000000230610.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000231236.jpg,A beige tiled bathroom with white fixtures and a mirror.,000000231236.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000231846.jpg,A yellow stripped cat sitting in a bathroom sink.,000000231846.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000232223.jpg,A figher jet creating condensation flying through the blue sky.,000000232223.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000236148.jpg,A man sits in the drivers seat of a truck.,000000236148.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000236535.jpg,A small plane is taking off from a grassy field.,000000236535.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000237920.jpg,Empty seats in front of a building on a sidewalk.,000000237920.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000239252.jpg,An elaborate contraption on a water faucet for a bathtub.,000000239252.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000239985.jpg,A dog with goggles is in a motorcycle side car.,000000239985.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000242363.jpg,"A bathroom with a sink, toilet and shower bathtub combination.",000000242363.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000249352.jpg,"A toilet, plunger and rug in a tiled bathroom stall.",000000249352.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000249371.jpg,"Many sheep grazing in a large, green pasture.",000000249371.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000251075.jpg,A bathroom with a vanity mirror toilette and kitchen sink next to a shower.,000000251075.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000251639.jpg,A cat sniffing an upside down blue bicycle.,000000251639.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000260409.jpg,A person in a helmet standing by their motorcycle.,000000260409.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000260627.jpg,A commuter train traveling down train track next to a rural road.,000000260627.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000262514.jpg,A display of a toilet and sink in a store. ,000000262514.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000262594.jpg,People standing on a roadway next to a vintage motorcycle.,000000262594.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000263664.jpg,A couple on a motorcycle in front of a bus and a metermaid car,000000263664.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000264461.jpg,"Mans bathroom with two visible fixtures, trash basket and plunger in sight.",000000264461.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000264599.jpg,A crowded city street with lots of people walking around.,000000264599.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000267802.jpg,A group of people riding mopeds in a busy street. ,000000267802.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000267862.jpg,A guy sitting on his motorcycle while a woman stands beside him,000000267862.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000268224.jpg,Two girls and a boy point to an unbaked pizza.,000000268224.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000271206.jpg,A white sink sitting underneath a round mirror.,000000271206.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000272015.jpg,A park bench in front of a porch in a green grass filled park.,000000272015.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000278237.jpg,A gray car driving by a city bus on the opposite side of the street.,000000278237.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000279343.jpg,A group of fighter jets sitting on an airport tarmac.,000000279343.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000279806.jpg,Daring guy does tricks mid air on motorcycle,000000279806.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000281950.jpg,A lone toilet sits in a large bathroom.,000000281950.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000282346.jpg,A man who is riding on a skateboard.,000000282346.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000283910.jpg,A group of sheep being herded by a black dog.,000000283910.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000285421.jpg,A black cat is inside a white toilet.,000000285421.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000288639.jpg,A calico cat drinking water from a running tap in a bathroom.,000000288639.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000293153.jpg,The sightseeing boat streams along the river joined by a plane,000000293153.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000294832.jpg,A bathroom with an enclosed shower next to a sink and a toilet.,000000294832.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000295768.jpg,Computer monitor and accesories sitting on a desk.,000000295768.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000297414.jpg,A kitchen filled with dishes and appliances with lots of cupboards..,000000297414.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000300216.jpg,A clean white bathroom with a simple mirror above the vanity.,000000300216.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000301574.jpg,three motor cycle racers posing on their parked bikes,000000301574.jpg
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000301837.jpg,a room that has a stove and a icebox in it,000000301837.jpg
